x,y,mean_temperature_5_30AM,mean_temperature_7_00AM,mean_temperature_7_00PM,mean_temperature_6_30PM
40,0,188.60497,202.25763,215.54175,213.02165
41,0,187.8948,203.1929,215.12358,212.70592
42,0,186.67348,203.3825,214.65836,213.24603
43,0,186.9411,202.06323,215.2723,213.38231
44,0,186.79709,201.00314,216.33287,212.9797
45,0,186.69925,201.4487,216.19806,212.5583
46,0,187.09547,200.53526,215.57532,212.90514
47,0,187.86826,200.65614,214.23663,212.98358
48,0,188.20808,200.69667,213.57079,212.51239
49,0,188.95831,200.65054,214.64366,212.39352
50,0,188.39821,201.73058,214.94705,212.70671
51,0,188.04424,201.9139,215.54314,212.64058
52,0,187.89949,201.05629,215.45793,212.8761
53,0,188.31052,200.08318,216.08307,212.78767
54,0,188.44528,200.92084,215.68881,212.47641
55,0,187.99582,201.70895,216.09398,212.46967
56,0,187.8185,202.62875,215.68732,212.4118
57,0,188.17279,203.19652,215.22578,212.15817
58,0,187.87604,203.31242,215.12752,212.28624
59,0,187.60469,204.30585,215.2174,212.34267
60,0,187.22556,205.12009,215.44498,212.38605
61,0,187.18687,204.48985,216.45534,212.31317
62,0,186.90912,204.13982,216.69661,212.39088
63,0,186.60602,203.2619,215.6696,212.22249
64,0,185.77023,202.94382,214.6477,211.92792
65,0,185.15282,202.11913,214.19464,211.88095
66,0,185.03333,202.05081,213.57663,212.05397
67,0,185.16463,202.15872,213.39091,212.02065
68,0,186.381,201.7077,212.93279,212.38556
69,0,188.15314,199.77084,211.59206,211.65802
70,0,188.29366,198.50296,211.32938,211.5301
71,0,187.78976,200.16513,211.89717,212.6342
72,0,186.93842,204.21748,213.35646,212.77074
73,0,185.94878,204.65683,213.42108,212.4459
74,0,186.35675,204.51915,213.54425,212.89723
75,0,186.65399,203.83371,212.72577,212.79376
76,0,187.32428,202.45114,212.65741,212.88739
77,0,187.41219,198.46907,212.31303,212.44489
78,0,187.8588,197.50056,212.47687,212.65056
79,0,188.48688,198.98447,212.38979,213.52364
80,0,188.66351,199.82799,213.29475,213.58101
81,0,188.59998,200.39522,213.49385,213.09831
82,0,188.35062,202.23273,213.19789,212.70761
83,0,187.63336,203.01495,213.53693,212.47623
84,0,187.62334,201.78284,213.87729,212.48871
85,0,187.48592,201.93166,213.98936,212.6981
86,0,187.4517,202.91518,213.70563,212.71872
87,0,187.34705,203.38261,213.3917,212.68417
88,0,186.46747,203.6746,213.39508,212.75803
89,0,186.47073,203.92227,214.13315,212.56972
90,0,185.92793,205.14714,214.47054,212.59438
91,0,185.93538,205.1377,213.19241,211.6366
92,0,186.02466,204.29745,213.46399,211.9718
93,0,186.1784,204.17897,214.50471,212.50116
94,0,186.91827,203.36098,215.21506,212.84851
95,0,188.34578,203.09064,214.91136,212.36578
96,0,188.99521,203.65317,214.40286,212.54305
97,0,188.49184,203.4809,213.59288,212.82034
98,0,188.47421,203.28192,213.47748,212.62306
99,0,187.81982,201.54202,213.5035,211.48666
0,1,187.14308,200.69443,214.3742,213.5303
1,1,188.1903,200.28967,214.48622,213.40402
2,1,188.24521,200.0672,214.4507,212.77916
3,1,188.23137,199.72972,213.90865,212.6122
4,1,188.31104,198.65506,214.42361,211.87132
5,1,188.44722,197.94687,215.4468,212.1612
6,1,188.95668,197.94075,215.12457,212.74431
7,1,188.4748,198.74078,215.01585,213.01007
8,1,188.33685,198.71619,215.30537,213.39606
9,1,188.51123,198.36118,215.60007,213.67833
10,1,187.76357,198.14813,215.36955,213.90558
11,1,187.58264,199.01706,215.8353,213.01703
12,1,187.21527,199.93959,215.10207,212.99141
13,1,187.21207,201.01712,213.89845,212.60728
14,1,187.78294,200.87915,215.07204,212.94702
15,1,187.54085,201.24347,216.16254,212.87437
16,1,187.19948,200.28113,216.41881,212.20697
17,1,187.11346,199.44139,216.25064,212.28946
18,1,186.6922,199.57968,216.11475,212.71335
19,1,186.27814,200.11984,215.25984,212.36891
20,1,186.50018,200.46289,215.86029,212.14229
21,1,186.50479,200.51613,216.51695,211.96448
22,1,186.26189,201.01398,214.97937,212.37714
23,1,186.36578,201.2659,215.30165,212.13348
24,1,186.42049,201.36806,216.11496,212.90135
