x,y,mean_temperature_5_30AM,flag_5_30AM,mean_temperature_6_30PM,flag_6_30PM,mean_temperature_7_00AM,flag_7_00AM,mean_temperature_7_00PM,flag_7_00PM
76,44,185.45708,True,211.08923,True,201.33434,True,210.03632,True
77,44,185.23018,True,211.37018,True,200.7198,True,210.03864,True
78,44,184.56586,True,211.42627,True,200.69139,True,209.19891,False
79,44,184.58047,True,211.86816,True,202.00705,True,209.35469,True
80,44,184.79904,True,211.45589,True,203.07553,True,209.55737,True
81,44,185.16862,True,210.76688,True,201.96786,True,209.50116,True
82,44,185.57623,True,211.32097,True,201.93456,True,209.24785,False
83,44,185.15352,True,211.22919,True,202.92561,True,209.7295,True
84,44,185.36403,True,210.66202,True,203.3259,True,209.7349,True
85,44,186.38457,True,210.0997,True,202.65034,True,208.90685,False
86,44,186.2589,True,209.35378,False,202.47165,True,208.62825,False
87,44,186.30087,True,209.47858,False,202.16753,True,209.54979,True
88,44,185.92474,True,209.26297,False,202.10008,True,210.24174,True
89,44,186.40695,True,209.09416,False,201.41849,True,210.16641,True
90,44,185.28677,True,208.8811,False,201.0771,True,210.0425,True
91,44,185.11171,True,208.41635,False,200.80692,True,210.17969,True
92,44,185.82022,True,208.309,False,201.32043,True,210.04306,True
93,44,186.12827,True,208.51874,False,202.23364,True,209.32347,True
94,44,185.93658,True,208.70332,False,202.73831,True,209.2428,False
95,44,185.6654,True,208.9129,False,202.93495,True,209.26353,True
96,44,185.493,True,208.58597,False,202.57243,True,209.11389,False
97,44,185.96426,True,208.91862,False,203.01945,True,208.88722,False
98,44,186.52429,True,208.98602,False,204.15129,True,209.05225,False
99,44,188.80022,False,208.94693,False,204.08302,True,208.9382,False
0,45,185.67857,True,211.23923,True,199.98817,True,211.69102,True
1,45,185.41815,True,211.18283,True,199.16681,True,212.01186,True
2,45,185.35979,True,210.90964,True,198.40222,True,212.7562,True
3,45,184.74895,True,210.12933,True,198.91539,True,212.51242,True
4,45,184.9866,True,209.6852,True,198.87541,True,211.62611,True
5,45,185.06728,True,210.66118,True,198.51878,True,210.75377,True
6,45,185.62381,True,211.10135,True,197.92421,True,210.06808,True
7,45,184.37315,False,210.62018,True,198.75317,True,210.82065,True
8,45,184.23712,False,210.56952,True,198.52364,True,210.91165,True
9,45,184.42836,False,210.7457,True,199.03452,True,211.031,True
10,45,185.23155,True,210.81296,True,198.61981,True,212.4021,True
11,45,185.21092,True,210.21767,True,198.51335,True,212.63116,True
12,45,184.8688,True,209.95976,True,198.95534,True,211.9383,True
13,45,184.7497,True,209.94525,True,199.83803,True,211.78792,True
14,45,185.5323,True,210.21466,True,200.29022,True,211.51872,True
15,45,185.8042,True,210.16885,True,200.61249,True,211.94403,True
16,45,186.61287,True,209.84262,True,200.13148,True,212.31358,True
17,45,187.39606,True,209.09634,False,199.95033,True,212.21342,True
18,45,187.06389,True,209.08563,False,199.76419,True,211.1775,True
19,45,186.13579,True,210.11218,True,199.81744,True,210.9707,True
20,45,185.93076,True,210.65135,True,198.2787,True,209.97101,True
21,45,185.73221,True,210.31116,True,196.44708,False,209.57321,True
22,45,186.21173,True,211.06009,True,195.74141,False,209.3987,True
23,45,186.17868,True,211.00687,True,196.03288,False,209.01836,False
24,45,185.78462,True,210.77919,True,195.88852,False,209.00302,False
25,45,185.47945,True,210.91473,True,194.43402,False,209.49986,True
